tweet,index
A @CSAUDEcamara aprovou projeto que inclui automaticamente a pessoa com transtorno do espectro autista entre os grupos prioritários em campanhas de vacinação sempre que ocorrerem situações de emergência sanitária ou calamidade em saúde [PL 1377/2021]. https://t.co/XnRLW8Q2se,973
"A campanha de vacinação contra a dengue foi ampliada no Rio de Janeiro e agora crianças e adolescentes de 10 a 16 anos já podem tomar o imunizante. Na segunda-feira (27), a capital registrou a primeira morte por dengue neste ano.#NoArNaCBN #Dengue https://t.co/MUbzWLaQMx",975
Ethel Maciel detalha novas estratégias de vacinação contra a Covid-19https://t.co/dm64HIxGys,977
Campanha de vacinação contra a gripe prossegue até o dia 31 https://t.co/HdZ3dDNKDv,983
Público-alvo da vacinação contra a gripe é ampliado e pessoas a partir de seis meses podem se vacinar#g1tocantins #tvanhanguera #saúdehttps://t.co/mJZYHZ2hrd,984
"🦟💉 Vacina contra a dengue estará disponível em todos os postos de saúde de Fortaleza a partir de segunda-feira (3)Para a vacinação, é preciso apresentar documento original da criança ou do adolescente e do responsávelhttps://t.co/HWzm74wjBwhttps://t.co/HWzm74wjBw",995
"Acabam vagas de agendamento para vacinação contra a dengue em Teresina, não há previsão de novas datas para agendamento https://t.co/BV1TZegMVM #g1 #Piauí",996
"🦟 A partir das 10h de hoje, FMS abre novas vagas de agendamento para vacinação contra a dengue em Teresina, veja como fazer https://t.co/BV1TZegMVM #g1 #Piauí",997
"ATENDIMENTO Unidades básicas de Manaus ofertam vacinação contra dengue, influenza e Covid-19 no sábadoLeia mais em: https://t.co/Lgn2DQUO9H#CompartilheACrítica https://t.co/p4U4pYgTPo",1000
Curitiba retoma vacinação anticovid em crianças do grupo especialhttps://t.co/g9izbbVAVY,1005
Saúde retoma vacinação anticovid de crianças de 5 a 11 anos do grupo especial https://t.co/Od0eeabACS,1006
Campanha de vacinação contra a poliomielite é iniciada em Divinópolis#g1 #g1centrooeste https://t.co/9hfeEWVmI8,1015
Vacinação contra dengue não terá ampliação de público em Belém; entenda https://t.co/7sNkOvvMwF,1020
É uma situação constrangedora. Nos resta unir forças para acelerar o processo de vacinação e evitar mais contaminações. Precisamos salvar a população brasileira. Vacina já!,1062
"""A vacinação de Covid é um grande desastre mundial"" Dr Peter McCullough - Audiência Pública no Paraná contra a coação e obrigatoriedade das injeções covid para crianças de 6 meses a menores de 5 anos. https://t.co/IYN3mYKKXs",1067
